*PRIME HOOK NWR     70301   38.800  -75.200  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
ERC                   -99      26       30       29       27       28       28       32       -99      -99      -99      
IC                    -99      20       28       16       10       8        7        18       -99      -99      -99      
10-hr fuel (%)        -99      6        5        8        10       10       11       8        -99      -99      -99      
100-hr fuel (%)       -99      14       12       11       12       12       12       12       -99      -99      -99      
1000-hr fuel (%)      -99      21       21       20       20       19       19       19       -99      -99      -99      


*DOE LAKE           201002  46.200  -86.700  20220506  21   
Fcst Dy             05/05    05/06    05/07    05/08    05/09    05/10    05/11    05/12    05/13    05/14    05/15    
Max RH (%)            -99      82       73       64       71       84       83       83       -99      -99      -99      
Min Temp (F)          -99      35       35       37       45       50       51       51       -99      -99      -99      
Min RH (%)            -99      0        28       17       31       48       53       57       -99      -99      -99      
Max Temp (F)          -99      67       63       65       66       70       71       74       -99      -99      -99      
WSpd (knt)            -99      7        7        11       16       9        7        11       -99      -99      -99      
BI                    -99      23       26       35       39       28       24       35       -99      -99      -99      
ERC                   -99      26       30       31       29       30       29       31       -99      -99      -99      
IC                    -99      19       26       25       15       10       7        17       -99      -99      -99      
